
without if sejaofeij
1, 0, -37.395535, -4.197099, 5.723040
0, 0, -37.331929, -4.187602, 0.000000


1, 1, -37.402393, -4.772922, 5.617785
0, 1, -36.921115, -4.339083, 0.000000


1, 2, -37.367897, -4.749249, 5.213450
0, 2, -36.488950, -4.390026, 0.000000


1, 3, -37.361153, -4.728037, 4.811845
0, 3, -36.073221, -4.332413, 0.000000


1, 4, -37.337872, -4.723566, 4.421232
0, 4, -35.683520, -4.363097, 0.000000



first seen blabla
1, 0, -37.351521, -4.148211, 5.723040
0, 0, -37.289701, -4.277159, 0.000000

1, 1, -37.327614, -5.115382, 5.195647
0, 1, -36.812666, -4.279881, 0.000000


1, 2, -37.364422, -4.738764, 5.183181
0, 2, -36.392017, -4.327624, 0.000000


1, 3, -36.122082, -4.223612, 6.234342
0, 3, -35.984567, -4.326321, 0.000000


1, 4, -36.175831, -3.841816, 6.279224
0, 4, -35.565687, -4.354902, 0.000000

x =x y = z z =y

1, 0, -37.489395, -4.196505, 5.723040
0, 0, -37.421878, -4.223423, 0.000000

1, 1, -36.787128, -5.383750, 5.547470
0, 1, -36.813994, -4.381865, 0.000000

1, 2, -38.126419, -5.399564, 4.982401
0, 2, -36.457818, -4.212267, 0.000000

1, 3, -39.339809, -5.290759, 6.344996
0, 3, -36.152832, -4.433471, 0.000000

1, 4, -39.362831, -5.324408, 6.925120
0, 4, -35.653207, -4.339372, 0.000000

changed eigen

1, 0, -37.277840, -5.299051, 4.602191
0, 0, -37.329337, -4.263135, 0.000000



1, 1, -37.477707, -6.516253, 5.818790
0, 1, -37.059896, -4.359602, 0.000000



1, 2, -37.966396, -6.508368, 5.796898
0, 2, -36.537613, -4.353893, 0.000000


1, 3, -38.459587, -6.503869, 5.788646
0, 3, -36.046026, -4.402340, 0.000000

x``
1, 4, -38.830872, -6.443423, 5.783901
0, 4, -35.656865, -4.345123, 0.000000

ALMOST
1, 0, -37.183777, 4.595051, -5.264300
0, 0, -37.228523, -4.223769, 0.000000


1, 1, -37.536594, 4.615329, -5.267030
0, 1, -36.851196, -4.409678, 0.000000


1, 2, -37.957035, 4.669684, -5.287154
0, 2, -36.476862, -4.414017, 0.000000


1, 3, -38.287254, 4.628332, -5.283556
0, 3, -36.020190, -4.382749, 0.000000
